id	name	symbol	name_synonyms	symbol_synonyms	description	genes	refs	GO_CC	GO_BP	GO_MF
FBgg0001210	DNA POLYMERASE EPSILON	DNAPOLE	-	-	DNA polymerase epsilon functions as a leading strand polymerase during nuclear DNA synthesis. It is a heterotetramer in which DNApol-epsilon255 encodes the catalytic subunit with polymerase and 3'-5' exonuclease proofreading activities. (Adapted from PMID:30005324.)	Q9V444,Q9VCN1,Q9VRQ7,Q9W256	31933406	epsilon DNA polymerase complex ; GO:0008622|nucleus ; GO:0005634	DNA replication proofreading ; GO:0045004|leading strand elongation ; GO:0006272	3'-5'-exodeoxyribonuclease activity ; GO:0008296|DNA-directed DNA polymerase activity ; GO:0003887
FBgg0001216	DNA POLYMERASE GAMMA	DNAPOLG	-	-	DNA polymerase gamma is a high-fidelity mitochondrial polymerase responsible for the replication and repair of mitochondrial DNA. It is a heterodimer in which the catalytic subunit is encoded by tam. (Adapted from PMID:30005324.)	Q27607,Q9VJV8	31933406	gamma DNA polymerase complex ; GO:0005760|mitochondrion ; GO:0005739	mitochondrial DNA repair ; GO:0043504|mitochondrial DNA replication ; GO:0006264	DNA-directed DNA polymerase activity ; GO:0003887
FBgg0001212	DNA POLYMERASE ZETA	DNAPOLZ	-	-	DNA polymerase zeta is one of several translesion synthesis polymerases that act to promote replication through DNA lesions that would otherwise stall the replicative polymerases. It is a heterotetramer, in which the catalytic subunit is encoded by DNApol-zeta, and is specialized for the extension step of lesion bypass. (Adapted from PMID:30005324.)	Q9W088,Q9Y118,Q9GSR1,Q9VNE1	31933406	nucleus ; GO:0005634|zeta DNA polymerase complex ; GO:0016035	translesion synthesis ; GO:0019985	DNA-directed DNA polymerase activity ; GO:0003887
FBgg0000298	dRING-ASSOCIATED FACTORS	DRAF	-	dRAF	The Drosophila Polycomb group complex dRING-associated factors (dRAF) catalyzes histone H2A K119 ubiquitination and H3K36me2 removal. Therefore, dRAF removes an active mark from histone H3 and adds a repressive one to H2A. (Adapted from FBrf0215737).	Q9VHH9,P35820,Q9VB08	28778878,18923078,22994356	PcG protein complex ; GO:0031519	histone H2A ubiquitination ; GO:0033522|histone H3-K36 demethylation ; GO:0070544	ubiquitin-protein transferase activity ; GO:0004842
FBgg0001728	DRB SENSITIVITY-INDUCING FACTOR COMPLEX	DSIF	-	Spt4/5	The DRB sensitivity-inducing factor (DSIF) complex is a heterodimer that acts as both a positive and negative transcription elongation factor. DSIF together with negative elongation factor (NELF) complex associates with RNA polymerase II and causes transcriptional pausing. Phosphorylation of DSIF-NELF complexes dissociates NELF from the elongation complex and transforms DSIF into a positive elongation factor. (Adapted from FBrf0235113, FBrf0211126 and FBrf0203142).	Q9TVQ5,Q9V460	20534440,28213523,15741180	DSIF complex ; GO:0032044	regulation of transcription elongation from RNA polymerase II promoter ; GO:0034243	RNA polymerase II complex binding ; GO:0000993
FBgg0000376	DYNACTIN COMPLEX	DYNA-C	Dynein activator complex	DCTN	Dynactin is a large 1.2 MDa multisubunit protein complex that associates with the cytoplasmic dynein complex to drive microtubule-based transport. (Adapted from PMID:15473859 and PMID:25751425).	P45889,Q9VWE8,Q7JQV2,Q9W2N0,P48603,P13496,Q7K2D2,Q9W1V8,Q7K130,Q9VJQ6,Q9VIZ1	25794683,12857853,22726940	dynactin complex ; GO:0005869	microtubule-based movement ; GO:0007018	-
FBgg0000720	ELBA BOUNDARY FACTOR COMPLEX	ELBA	Early boundary activity|Elba factor	-	The heterotrimeric insulator complex ELBA is a chromatin boundary factor, which binds to specific DNA and confers insulator activity during early embryogenesis. (Adapted from FBrf0227658 and FBrf0221291).	Q9VR17,Q9VQD6,Q9VR19	23240086,24135698,25561495	chromatin silencing complex ; GO:0005677	negative regulation of transcription, DNA-templated ; GO:0045892	chromatin insulator sequence binding ; GO:0043035
FBgg0000599	ELG1 COMPLEX	ELG1-C	Elg1 PCNA-unloader complex|Elg1 replication factor C-like complex	Elg1-RLC	The Elg1 complex (Elg1-C) is a pentameric replication factor C (RFC)-like complex. Elg1-C unloads the DNA polymerase processivity factor proliferating cell nuclear antigen (PCNA) from chromatin. (Adapted from FBrf0232456).	Q9VX15,Q86BP6,Q9VKW3,P53034,Q9U9Q1	27198229	Elg1 RFC-like complex ; GO:0031391	-	-
FBgg0001733	ELONGIN COMPLEX	ELO	-	-	Elongin complex is a transcription elongation factor that increases RNA polymerase II elongation rate by suppressing transient pausing. Elongin complex is a heterotrimer composed of the large transcriptionally active subunit elongin A and two regulatory subunits elongin B and C, which form a stable subcomplex that binds to subunit A. (Adapted from FBrf0223250 and FBrf0180540).	Q9VCP0,O44226,Q7JWD6	19279664,24204884	elongin complex ; GO:0070449	positive regulation of transcription elongation from RNA polymerase II promoter ; GO:0032968	-
FBgg0001289	ER MEMBRANE PROTEIN COMPLEX	EMC	ER membrane protein complex	-	The ER membrane protein complex (EMC) is a widely conserved and abundant complex found in the endoplasmic reticulum of eukaryotic cells. The mammalian EMC comprises ~10 subunits, in which EMC8 and EMC9 are ~40% identical and appear to be the result of a recent gene duplication. In D. melanogaster, there is a single gene encoding EMC8/9, whereas the EMC2 gene is duplicated (resulting in EMC2A and EMC2B).  EMC can directly mediate the insertion of transmembrane domains (TMDs) into the lipid bilayer and may participate in the folding/assembly of other types of membrane proteins transiting through the ER by serving as a chaperone. EMC disruption has pleiotropic phenotypes, often impacting the abundance or localization of membrane proteins and affecting protein trafficking, organelle communication, ER stress, viral maturation and lipid homeostasis. (Adapted from PMID:30826214.)	Q9VHY6,Q9VEQ1,Q9VEQ2,Q9VKR0,Q9VNQ3,Q9VJ25,Q9VBZ8,A1ZA83,Q9W1Y1,Q8IPT0	31263175	EMC complex ; GO:0072546	-	-
FBgg0000604	ENOK COMPLEX	ENOK-C	-	-	The Enok complex (Enok-C) is an histone lysine acetyltransferase 6 (KAT6) complex. The Enok-C preferentially acetylates histone H3 residues. KAT6 complexes are highly conserved in eukaryotes and are involved in cell cycle regulation. (Adapted from FBrf0232456).	Q7JVP4,Q9VRN3,Q9W1A9,Q9VJY8	27198229	MOZ/MORF histone acetyltransferase complex ; GO:0070776	histone H3 acetylation ; GO:0043966|regulation of cell cycle ; GO:0051726	histone acetyltransferase activity (H3-K23 specific) ; GO:0043994
FBgg0000052	ESCRT-0 COMPLEX	ESCRT-0	Endosomal Sorting Complex Required for Transport 0|Hrs-STAM complex	ESCRT 0	The ESCRT (Endosomal Sorting Complexes Required for Transport) machinery is made up of five complexes, ESCRT-0 to -III and the Vps4-Vta1 ATPase complex, which are sequentially recruited to the cytosolic face of the membrane, and mediate cargo recognition, membrane budding and fission. ESCRT-0 initiates mediates multivesicular body (MVB) formation, binding ubiquitinated membrane proteins destined for degradation and concentrating them in early endosome membranes. ESCRT-0 recruits ESCRT-I. (Adapted from PMID:22361144 and FBrf0209668).	Q960X8,Q9XTL2	25486452,20059450	ESCRT-0 complex ; GO:0033565	endosome transport via multivesicular body sorting pathway ; GO:0032509	ubiquitin binding ; GO:0043130
FBgg0000101	ESCRT-I COMPLEX	ESCRT-I	Endosomal Sorting Complex Required for Transport I	ESCRT I	The ESCRT (Endosomal Sorting Complexes Required for Transport) machinery is made up of five complexes ESCRT-0 to -III and the Vps4-Vta1 ATPase complex, which are sequentially recruited to the cytosolic face of the membrane, and mediate cargo recognition, membrane budding and fission. ESCRT-I is constitutive heterotetrameric complex. It interacts with ESCRT-O, -II and ubiquitin. Together with ESCRT-II, it mediates the formation of the membrane bud and stabilizes the neck region. (Adapted from PMID:22361144 and FBrf0209668).	Q9VWY7,Q9VVA7,Q9V359,Q9VN88,O77259	25486452,20059450,19571114	ESCRT I complex ; GO:0000813	endosome transport via multivesicular body sorting pathway ; GO:0032509	-
FBgg0000207	ESCRT-II COMPLEX	ESCRT-II	Endosomal Sorting Complex Required for Transport II	ESCRT II	The ESCRT (Endosomal Sorting Complexes Required for Transport) machinery is made up of  five complexes, ESCRT-0 to -III and the Vps4-Vta1 ATPase complex, which are sequentially recruited to the cytosolic face of the membrane, and mediate cargo recognition, membrane budding and fission. ESCRT-II is a constitutive heterotetramer. It interacts with  3-phosphoinositides, ubiquitin and  ESCRT-I, with which it mediates the formation of the membrane bud and stabilizes the neck region. It recruits ESCRT-III. (Adapted from PMID:22361144 and FBrf0209668).	Q9VD72,Q7JXV9,Q9VU87	25486452,20059450,19571114	ESCRT II complex ; GO:0000814	endosome transport via multivesicular body sorting pathway ; GO:0032509	-
FBgg0000057	ESCRT-III COMPLEX	ESCRT-III	Charged Multivesicular Body Proteins|Endosomal Sorting Complex Required for Transport III	CHMPs|ESCRT III	The ESCRT (Endosomal Sorting Complexes Required for Transport) machinery is made up of  five complexes, ESCRT-0 to -III and the Vps4-Vta1 ATPase complex, which are sequentially recruited to the cytosolic face of the membrane, and mediate cargo recognition, membrane budding and fission. ESCRT-III is a dynamic complex, that assembles on endosomes. The components of the complex are less well defined, but it has four core subunits. It assembles into a filament around the neck of the budding vesicle. ESCRT-III mediates the recruitment of deubiquitinases and, together with the Vps4-Vta1 complex, which it recruits, mediates membrane scission. (Adapted from PMID:22361144 and FBrf0209668).	Q9Y124,Q95SH2,Q9VRJ5,Q8T0Q4,Q9VBI3,Q9W236,Q9VN02,Q9VVI9	22724069,25486452,20059450,19571114	ESCRT III complex ; GO:0000815	endosome transport via multivesicular body sorting pathway ; GO:0032509	-
FBgg0000107	EXOCYST	EXOC	Exocyst complex|Sec6/8 complex	Exo	The exocyst complex is composed of eight proteins. It is involved tethering secretory vesicles to the plasma membrane and may regulate other aspects of intracellular trafficking such as SNARE assembly, cytokinesis and endocytic recycling. The exocyst complex is a member of the Complex Associated with Tethering Containing Helical Rods (CATCHR) family. (Adapted from FBrf0219543).	Q9VSJ8,Q7KRZ3,Q9VVG4,Q9VQQ9,Q9V8K2,Q9VNH6,Q9XTM1,Q9VDE6	25453831,22420621	exocyst ; GO:0000145	vesicle-mediated transport ; GO:0016192	-
FBgg0000282	FACT COMPLEX	FACT	Facilitates chromatin transcription complex	-	FACT (facilitates chromatin transcription) is a heterodimer that destabilizes interactions between the H2A/H2B dimer and the H3/H4 tetramer of nucleosomes. FACT is involved in multiple processes such as transcription elongation, DNA replication and repair. (Adapted from FBrf0208591).	Q8IRG6,Q05344	14698615,12815073,19605348	FACT complex ; GO:0035101	regulation of chromatin assembly or disassembly ; GO:0001672	nucleosome binding ; GO:0031491
FBgg0001771	GAMMA-TUBULIN RING COMPLEX	G-TURC	Gamma-Tubulin large complex	gamma-TuRC	Gamma-tubulin ring complex (gamma-TuRC) is a multiprotein complex composed of the core subunit G-TUSC (gamma-TuSC) and additional Grip-motif proteins to form the ring-shaped complex. G-TURC localizes to the centrosome and catalyze the microtubule nucleation. (Adapted from FBrf0190946).	Q9VJ57,Q9VKU7,Q9XYP7,Q9XYP8,Q9VXU8,Q9VTS3,P23257,P42271	12631720,10037793	gamma-tubulin large complex ; GO:0000931	microtubule nucleation ; GO:0007020	-
FBgg0001768	GAMMA-TUBULIN SMALL COMPLEX	G-TUSC	-	gamma-TuSC	Gamma-tubulin small complex (gamma-TuSC) is the core subunit of the G-TURC (gamma-TuRC), is a heterotetramer composed of two molecules of gamma-tubulin associated with two Grip-motif proteins. (Adapted from FBrf0191157).	Q9XYP7,Q9XYP8,P23257,P42271	12631720,10037793	gamma-tubulin small complex ; GO:0008275	microtubule nucleation ; GO:0007020	-
FBgg0000471	GOLGI-ASSOCIATED RETROGRADE PROTEIN COMPLEX I	GARPI	-	-	GARP is a tethering complex, which is found on the Golgi and involved in retrograde traffic from endosomes. GARP complex has been shown to exist in two versions, called GARPI and GARPII, that differ in their composition. (Adapted from FBrf0226902).	Q9VLC0,Q8MSY4,Q9VMQ8,Q9VQY8	25453831,25486452,25795912	GARP complex ; GO:0000938	endocytic recycling ; GO:0032456	-
FBgg0000472	GOLGI-ASSOCIATED RETROGRADE PROTEIN COMPLEX II	GARPII	Endosome-associated recycling protein	EARP	GARP is a tethering complex, which is found on the Golgi and involved in retrograde traffic from endosomes. GARP complex has been shown to exist in two versions, called GARPI and GARPII, that differ in their composition. GARPII can interact with Rab4. (Adapted from FBrf0226902).	A1ZAY8,Q8MSY4,Q9VMQ8,Q9VQY8	25453831	GARP complex ; GO:0000938	endocytic recycling ; GO:0032456	-
FBgg0000533	GATOR1 COMPLEX	GAT1	Iml1 complex|SEA subcomplex inhibiting TORC1|SEACIT/GATOR1	SEACIT	GATOR1 is a subcomplex of the GATOR (SEA) complex. GATOR1 possesses Rag GTPase activating protein activity and inhibits TORC1 activity in response to amino acid starvation. (Adapted from FBrf0232362 and PMID:25934700).	Q9W0E3,Q9VXA0,Q9VUB4	27166823,21454883,27672113	GATOR1 complex ; GO:1990130	-	-
FBgg0000534	GATOR2 COMPLEX	GAT2	SEA subcomplex activating TORC1|SEACAT/GATOR2	SEACAT	GATOR2 is a subcomplex of the GATOR or SEA complex. It suppresses the Rag GTPase activating protein activity of the GATOR1 subcomplex, promoting TORC1 activity. (Adapted from FBrf0232362 and PMID:25934700).	Q9VQ89,Q7K2X8,Q9V3J4,Q9XZ25,Q9VKK2	27166823,21454883	GATOR2 complex ; GO:0061700	-	-
FBgg0001613	GINS COMPLEX	GINS	Go, Ichi, Ni and San complex	-	The heterotetrameric GINS complex is essential for the establishment of DNA replication forks and replisome progression in eukaryotes. GINS is one of the core components of the replicative helicase, the CMG (Cdc45-MCM-GINS) complex, activating the helicase activity of MCM to unwind duplex DNA ahead of the moving replication fork. Eukaryotic GINS also links with other key proteins at the fork to maintain an active replisome progression complex. (Adapted from PMID:22918584 and PMID:20070258.)	Q9W0I7,Q9VQY9,Q9W2V7,Q9VBI1	21378962,25117490,16798881	GINS complex ; GO:0000811	DNA strand elongation involved in mitotic DNA replication ; GO:1902983|pre-replicative complex assembly involved in nuclear cell cycle DNA replication ; GO:0006267	-
FBgg0000613	GLYCOSYLPHOSPHATIDYLINOSITOL ETHANOLAMINE-PHOSPHATE TRANSFERASE II COMPLEX	GPI-ET-II	GLYCOSYLPHOSPHATIDYLINOSITOL ETHANOLAMINE-PHOSPHATE TRANSFERASE II|EtNP transferase II|GPI-ET II complex	-	In glycosylphosphatidylinositol (GPI)-anchor biosynthesis, the GPI-ethanolamine-phosphate transferase II complex catalyzes the conversion of ethanolamine-phosphate-mannose-mannose-(ethanolamine-phosphate)mannose-N-acetyl glucosamine-(acyl)phosphatidylinositol (EtNP-Man-Man-(EtNP)Man-GlcN-(acyl)PI) to EtNP-Man-(EtNP)Man-(EtNP)Man-GlcN-(acyl)PI. (Adapted from PMID:26563290).	Q9VW21,A1Z705	23250212	-	GPI anchor biosynthetic process ; GO:0006506	-
FBgg0000620	GLYCOSYLPHOSPHATIDYLINOSITOL ETHANOLAMINE-PHOSPHATE TRANSFERASE III COMPLEX	GPI-ET-III	GLYCOSYLPHOSPHATIDYLINOSITOL ETHANOLAMINE-PHOSPHATE TRANSFERASE III|EtNP transferase III|GPI-ET III complex|GPI-EtNP transferase 3	-	In glycosylphosphatidylinositol (GPI)-anchor biosynthesis, the GPI-ethanolamine-phosphate transferase III complex catalyzes the addition of ethanolamine-phosphate (EtNP) to mannose-mannose-(EtNP)mannose-N-acetyl glucosamine-(acyl)phosphatidylinositol generating EtNP-Man-Man-(EtNP)Man-GlcN-(acyl)PI. (Adapted from PMID:26563290).	Q9VW21,A1ZB84	23250212	-	GPI anchor biosynthetic process ; GO:0006506	-
FBgg0000629	GLYCOSYLPHOSPHATIDYLINOSITOL-N-ACETYLGLUCOSAMINYLTRANSFERASE COMPLEX	GPI-GNT	GLYCOSYLPHOSPHATIDYLINOSITOL - N - ACETYLGLUCOSAMINYLTRANSFERASE|GLYCOSYLPHOSPHATIDYLINOSITOL-N-ACETYLGLUCOSAMINYLTRANSFERASE|GPI-GlcNAc transferase|GPI-GnT complex|GPI-N-acetylglucosaminyltransferase	-	In glycosylphosphatidylinositol (GPI)-anchor biosynthesis, the GPI-N-acetylglucosaminyltransferase (GPI-GnT) complex catalyzes the transfer of N-acteylglucosamine (GlcNAc) to phosphatidylinositol (PI) generating GlcNAc-PI. The PIG-A gene encodes the catalytic subunit of the complex. (Adapted from PMID:11102867 and PMID:19883648).	Q7JUM3,A0A2U8U156,Q9VHX6,Q8MSE4,Q8IR17	23250212	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex ; GO:0000506	GPI anchor biosynthetic process ; GO:0006506	phosphatidylinositol N-acetylglucosaminyltransferase activity ; GO:0017176
FBgg0000622	GLYCOSYLPHOSPHATIDYLINOSITOL MANNOSYLTRANSFERASE I COMPLEX	GPI-MT-I	GLYCOSYLPHOSPHATIDYLINOSITOL MANNOSYLTRANSFERASE I|a1-4mannosyltransferase I|GPI-MT-I complex	-	In glycosylphosphatidylinositol (GPI)-anchor biosynthesis, the GPI mannosyltransferase I complex transfers mannose to glucosamine-(acyl)phosphatidylinositol, generating mannose-N-acetyl glucosamine-(acyl)phosphatidylinositol. (Adapted from PMID:17519279).	Q9W2E4,A0A0B4LES9	23250212	glycosylphosphatidylinositol-mannosyltransferase I complex ; GO:1990529	GPI anchor biosynthetic process ; GO:0006506	alpha-1,4-mannosyltransferase activity ; GO:0051751
FBgg0000616	GLYCOSYLPHOSPHATIDYLINOSITOL TRANSAMIDASE COMPLEX	GPI-TA	GLYCOSYLPHOSPHATIDYLINOSITOL TRANSAMIDASE|GPI transamidase	-	In glycosylphosphatidylinositol (GPI)-anchor biosynthesis, the GPI transamidase complex mediates GPI anchoring in the endoplasmic reticulum by replacing the protein's C-terminal GPI-attachment signal peptide with a preassembled GPI. (Adapted from PMID:11483512 and PMID:19883648).	Q9W464,Q8T4E1,Q9VC10,Q9W3G0,Q9VLK0	33496978,23250212	GPI-anchor transamidase complex ; GO:0042765	attachment of GPI anchor to protein ; GO:0016255	GPI-anchor transamidase activity ; GO:0003923
FBgg0001062	GAMMA SECRETASE COMPLEX	GSC	Gamma secretase|Intramembrane aspartyl protease gamma-secretase|gamma-secretase	-	The gamma-secretase complex is an intramembrane aspartyl protease complex that cleaves transmembrane proteins. In particular, it is known for cleaving amyloid precursor protein (Appl) and Notch (N) receptor. It is essential for Notch signaling, performing the second ligand-simulated cleavage, which yields Notch intracellular domain. (Adapted from FBrf0211009).	Q9VQG2,Q9VC27,Q86BE9,O02194	20421416	gamma-secretase complex ; GO:0070765	Notch receptor processing ; GO:0007220|Notch signaling pathway ; GO:0007219	aspartic-type endopeptidase activity ; GO:0004190
FBgg0001764	H/ACA SMALL NUCLEOLAR RIBONUCLEOPROTEIN COMPLEX	H-ACA	-	H/ACA RNPs	H/ACA small nucleolar ribonucleoprotein complex (H/ACA snoRNP) is a ribosome processing complex that catalyzes pseudouridylation of ribosomal RNA (rRNA) residues. The H/ACA sRNP complex is composed of four different core proteins that assemble onto a H/ACA guide RNA scaffold which identify target uridines in the rRNA for modification during ribosome synthesis. (Adapted from PMID:22065625, FBrf0239135 and FBrf0161482).	Q7KVQ0,Q9V5P6,Q9V3U2,O44081	26669894	box H/ACA snoRNP complex ; GO:0031429	snoRNA guided rRNA pseudouridine synthesis ; GO:0000454	-
FBgg0000615	HISTONE PRE-MRNA CLEAVAGE COMPLEX	HCC	HISTONE PRE - MRNA CLEAVAGE COMPLEX	-	Histone cleavage complex includes endonucleases and polyadenylation factors involved in processing of histone pre-mRNA. (Adapted from FBrf0223323 and PMID:23071092).	Q9VPT8,Q9VE51,Q9V3D6,Q9V726,Q9V9V0,Q9VE52,Q9VN31,P25991,Q8MSU4,Q9VNG2	26081560,24145821,28190776,19450530	mRNA cleavage factor complex ; GO:0005849	mRNA 3'-end processing by stem-loop binding and cleavage ; GO:0006398	mRNA binding ; GO:0003729
FBgg0000902	HYPOXIA-INDUCIBLE FACTOR	HIF	-	-	Hypoxia-inducible factor (HIF) mediates hypoxia-dependent transcription. It is a heterodimeric basic helix-loop-helix transcription factor complex composed of a constitutively expressed HIF-beta subunit and an oxygen-regulated HIF-alpha subunit. (Adapted from FBrf0190953).	Q24167,O15945	16278294	RNA polymerase II transcription regulator complex ; GO:0090575	positive regulation of transcription by RNA polymerase II ; GO:0045944	DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981|transcription cis-regulatory region binding ; GO:0000976
FBgg0001342	HEDGEHOG SIGNALING COMPLEX	HSC	-	-	The Hedgehog signaling complex (HSC) is involved in hedgehog signaling pathway. In the absence of hh, HSC promotes the proteolytic processing of the transcription factor and HSC component ci to its repressor form. hh activation of the pathway blocks the processing of ci, allowing the accumulation of the full-length activator protein. (Adapted from FBrf0174381.)	P19538,O16844,P23647	15104233,9244297,10825151	Hedgehog signaling complex ; GO:0035301	-	-
FBgg0000075	INTRAFLAGELLAR TRANSPORT SUBCOMPLEX-A	IFT-A	Intraciliary transport particle A|Intraflagellar transport complex A|Intraflagellar transport particle A	IFT A	Intraflagella Transport (IFT) complex proteins are evolutionary related to coat protein complexes. The IFT-A subcomplex mediates retrograde transport of large proteins/complexes within the intraflagella transport system. It interacts with the BBSome and IFT-B complexes. (Adapted from PMID:22118932, PMID:19575670 and FBrf0223369).	Q9VK67,Q9VSJ6,Q9W097,A1ZBM3,Q7KTZ4	15137945,16435301,23569277	intraciliary transport particle A ; GO:0030991|non-motile cilium ; GO:0097730	cilium assembly ; GO:0060271|intraciliary retrograde transport ; GO:0035721	-
FBgg0000140	INTRAFLAGELLAR TRANSPORT SUBCOMPLEX-B	IFT-B	Intraciliary transport particle B|Intraflagellar transport complex B|intraflagellar transport particle B	IFT B	Intraflagella Transport (IFT) complex proteins are evolutionary related to coat protein complexes. The IFT-B subcomplex mediates anterograde transport of large proteins/complexes within the intraflagella transport system. It interacts with the BBSome and IFT-A complexes. (Adapted from PMID:22118932, PMID:19575670 and FBrf0223369).	Q9VR64,A1Z6F0,Q9VJ72,Q9VMC0,Q9VFL0,Q9VQS5,Q7KRS6,Q9W040,Q9VII8,Q9VF41,Q9VK41	15137945,16435301,23569277	cilium ; GO:0005929|intraciliary transport particle B ; GO:0030992	cilium assembly ; GO:0060271	-
FBgg0000291	INO80 COMPLEX	INO80	INO80 remodelling complex|Inositol requiring 80 complex	Pho-dINO80|PHO-INO80	The INO80 complex is an ATP-dependent chromatin remodeller that can mobilize nucleosomes. (Adapted from PMID:17316710).	P10987,Q9VEC3,Q9VX09,Q9VDY1,Q8ST83,Q9VH07,Q9V3K3	19355820,16618800	Ino80 complex ; GO:0031011	chromatin remodeling ; GO:0006338	ATP hydrolysis activity ; GO:0016887|DNA helicase activity ; GO:0003678
FBgg0000914	KIBRA-EX-MER COMPLEX	KEM	KEM complex	-	The KEM complex is an apical protein complex that contains the proteins Kibra, Expanded and Merlin. It positively regulates the Hippo pathway, acting as a scaffolding complex. (Adapted from FBrf0210017).	Q07436,Q9VFG8,Q24564	20159600	Kibra-Ex-Mer complex ; GO:0036375	positive regulation of hippo signaling ; GO:0035332	-
FBgg0001735	KIP1 UBIQUITINATION-PROMOTING COMPLEX	KPC	-	-	KIP1 ubiquitination-promoting complex (KPC) is a heterodimeric E3 ubiquitin ligase complex. In Drosophila, it is male-specific (FBrf0247735).	Q9VFC4,A0A0B4KFW5	33378371	ubiquitin ligase complex ; GO:0000151	protein ubiquitination ; GO:0016567	ubiquitin protein ligase activity ; GO:0061630
FBgg0001685	RAGULATOR COMPLEX	LAMTOR	-	-	The Ragulator complex is a lysosome associated pentameric complex which acts as a guanyl-nucleotide exchange factor for the Rag GTPases (Rags). It tethers the Rags to the lysosome membrane and interacts with the v-ATPase. In response to amino acid availability, this system jointly acts to regulate the translocation to the lysosomal surface, and thereby the activation, of TORC1. (Adapted from FBrf0225443 and FBrf0214985.)	Q9VW73,Q9V8I2,Q9VJD2,Q9VZL6,O96824	22980980,20381137	Ragulator complex ; GO:0071986	positive regulation of TORC1 signaling ; GO:1904263	guanyl-nucleotide exchange factor activity ; GO:0005085
FBgg0001724	LITTLE ELONGATION COMPLEX	LEC	-	-	The little elongation complex (LEC) is a distinct eleven_nineteen lysine_rich leukemia family RNAPII elongation factors (ELL)-containing complex that shares some structural and functional properties with super elongation complexes (SECs). This complex is required for the expression of RNA polymerase II-transcribed small nuclear RNA (snRNA) genes. (Adapted from FBrf0222548, FBrf0217100 and PMID:22895430).	Q7JRJ1,Q9W1R4,Q8SZZ8,Q9VW51	23932780,22195968	-	positive regulation of snRNA transcription by RNA polymerase II ; GO:1905382	-
FBgg0000153	MON1-CCZ1 COMPLEX	MCC	-	-	As endosomes mature, Rab5 is replaced with Rab7 in a process known as Rab conversion. The Mon1-Ccz1 complex is required for this process. It is recruited to endosomes by the CORVET complex and acts as a guanine nucleotide exchange factor (GEF) for Rab7. (Adapted from PMID:21683469).	Q9VRX1,Q9VZL5,Q9VR38	32499409,23418349	Mon1-Ccz1 complex ; GO:0035658	endosome to lysosome transport via multivesicular body sorting pathway ; GO:0032510	guanyl-nucleotide exchange factor activity ; GO:0005085
FBgg0001614	MCM2-7 COMPLEX	MCM2-7	MCM complex|mini-chromosome maintenance complex	-	The heterohexameric MCM2-7 complex is the helicase motor of the CMG (Cdc45-MCM-GINS) replicative helicase of eukaryotes. The six MCM subunits are related to one another and are members of the AAA+ (ATPases associated with diverse cellular activities) superfamily. Hydrolysis of ATP by the individual MCM subunits catalyses the conformational changes that drive unwinding of the DNA duplex. However, the eukaryotic MCM complex alone has no or little helicase activity, requiring the other components of the CMG complex (Cdc45 and the GINS complex) for activation. (Adapted from PMID:23412083.)	Q26454,P49735,Q9XYU1,Q9VGW6,Q9V461,Q9XYU0	16189551,21378962,25117490,17786205,20122406,16798881	MCM complex ; GO:0042555	DNA unwinding involved in DNA replication ; GO:0006268	3'-5' DNA helicase activity ; GO:0043138
FBgg0000725	MITOCHONDRIAL CALCIUM UNIPORTER COMPLEX	MCUNI	Uniplex complex	MCU	The mitochondrial calcium uniporter complex is a Ca2[+]-activated channel that mediates the import of Ca2[+] ions from the cytosol into the mitochondrion. (Adapted from FBrf0233624).	Q7JX57,Q8IQ70,A2VEI2	27099988	uniplex complex ; GO:1990246	mitochondrial calcium ion transmembrane transport ; GO:0006851	uniporter activity ; GO:0015292
FBgg0000359	MEDIATOR COMPLEX	MED	Mediator	-	The Mediator (MED) complex serves as a hub for transcriptional signaling events. MED bridges transcriptional activators and repressors. This large multi-protein complex has a central core conserved from yeast to humans. The core is composed of three modules: head, middle, and tail. A separate module, the Cdk8 kinase module, composed of Cdk8, CycC, kto and skd, serves as a regulator. (Adapted from FBrf0226415 and FBrf0191850).	Q9VT57,P25008,Q7KBL8,Q9VW47,Q9VP05,Q9VS38,Q8MSX2,Q9GYV9,A1ZBT5,A1ZB42,Q9GYU7,Q9VVS4,Q9W0P8,Q9Y149,Q9W278,Q9VEC1,Q9XZT1,Q9VVL6,P91641,Q9W5P1,Q9V439,Q9W1X7,Q9VSF2,Q9VDR1,Q9V4F9,Q9VNG0,Q9VBQ9,Q9W0P3,Q8IH24,Q7KTX8	11090137,15175151,12021283,25126791,24820420,11511356,11259581	mediator complex ; GO:0016592	transcription by RNA polymerase II ; GO:0006366	transcription coregulator activity ; GO:0003712
FBgg0001551	miRNA RISC LOADING COMPLEX	miRLC	microRNA-RNA-induced silencing complex loading complex	-	The miRNA-RISC loading complex binds microRNA (miRNA) and loads it onto AGO1 to form an RNA-induced silencing complex (RISC). (Adapted from FBrf0215456.)	Q32KD4,Q9VCU9,Q9VJY9	19451544	RISC-loading complex ; GO:0070578	miRNA loading onto RISC involved in gene silencing by miRNA ; GO:0035280	-
